% Base Parameters: gridHeight = 100, gridWidth = 100, min_distance_groups = 5, num_groups = 13, num_agents_per_group = 5, max_strikes = 3, mean_tolerance = 0.25, std_tolerance = 0.1, mean_value = 1.0, std_value = 0.5, agent_std_value = 0.25, prop_deviant = 0.2, deviant_mean_tolerance = 0.125, prefix = adjusted_means, 

% Random Parameters: 
% Test Parameters:
%deviant_mean_tolerance = [0.125, 0.25, 0.5]
% ,Test Parameters,Results
Seed,deviant_mean_tolerance,num_deviants,num_standards,avg_deviant_payoff,avg_standard_payoff,
1,0.125,14,51,24.88571295941248,25.315138726422695,
2,0.125,13,52,26.906448258439358,22.73201691811143,
3,0.125,12,53,25.778206312890745,24.846799808867654,
4,0.125,13,52,28.416863284763824,24.082823530965754,
5,0.125,16,49,25.428731005281197,27.698885744804446,
1,0.25,14,51,23.980124674656363,25.868027171226323,
2,0.25,13,52,26.257406913341427,22.20112294987521,
3,0.25,12,53,24.886591576003227,25.31749576555323,
4,0.25,13,52,29.23974710407724,24.155059484141695,
5,0.25,16,49,25.88714253061281,27.777473280162607,
1,0.5,14,51,24.540399669464744,26.511573443658097,
2,0.5,13,52,22.507486029642703,23.388335853945673,
3,0.5,12,53,24.11876178659152,25.464047544916973,
4,0.5,13,52,27.67579898124657,24.021001515229614,
5,0.5,16,49,24.459385449960937,28.108531998997737,
