% Base Parameters: gridHeight = 100, gridWidth = 100, min_distance_groups = 5, num_groups = 13, num_agents_per_group = 5, max_strikes = 3, mean_tolerance = 1.0, std_tolerance = 0.2, mean_value = 1.0, std_value = 0.2, agent_std_value = 0.1, prop_deviant = 0.2, deviant_mean_tolerance = 2.0, 

% Random Parameters: 
% Test Parameters:
%deviant_mean_tolerance = [2.0, 0.5]
% ,,Test Parameters,Results
Seed,Timestep,deviant_mean_tolerance,num_deviants,num_standards,avg_deviant_payoff,avg_standard_payoff,
1,0,2.0,14,51,0.0,0.0,
1,1,2.0,14,51,1.0149614810943606,1.0125697827806652,
1,2,2.0,14,51,2.026312875747681,2.01180372612149,
1,3,2.0,14,51,3.0268000398363393,3.0108495917974722,
1,4,2.0,14,51,4.044495221546718,4.018737677031871,
1,5,2.0,14,51,5.050777224131993,5.015321256600174,
1,6,2.0,14,51,6.069530950273788,6.034675760830147,
1,7,2.0,14,51,7.089573499134607,7.034217110802147,
1,8,2.0,14,51,8.076649917875018,8.003297731923118,
1,9,2.0,14,51,9.097101061684745,9.005658971562102,
1,10,2.0,14,51,10.119824450356619,10.017232472288843,
1,0,0.5,14,51,0.0,0.0,
1,1,0.5,14,51,1.0149614810943606,1.0125697827806652,
1,2,0.5,14,51,2.026312875747681,2.01180372612149,
1,3,0.5,14,51,3.0464692422321873,3.0216483695834273,
1,4,0.5,14,51,3.978316189561572,4.026300779510945,
1,5,0.5,14,51,4.9009389434541974,5.021425697850243,
1,6,0.5,14,51,5.848600494861604,6.036705220446869,
1,7,0.5,14,51,6.855299486837671,7.03990947826236,
1,8,0.5,14,51,7.846778702951636,8.007781472860596,
1,9,0.5,14,51,8.84216053359238,8.992159749713595,
1,10,0.5,14,51,9.770682258702022,9.973785365562817,
